IncidentID,num_vehicles_involved,eCollisionManner,Longitude,Latitude,InjurySeverity,eIntersectionType,eCollisionManner,city_name,IncidentDateTime,cyclist_citations,driver_citations,nearest_count_site,distance_to_nearest_count_site
2466928,2,ANGLE_FRONT_TO_SIDE,-111.952153351199,33.4075100434295,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/11/03 07:51:00",DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,NO_IMPROPER_ACTION,160,0.00011354388541
2519429,2,SIDESWIPE_SAME_DIRECTION,-111.926086201169,33.4147580342274,2,UNKNOWN_99,SIDESWIPE_SAME_DIRECTION,TEMPE,"2011/03/18 23:35:00",NO_IMPROPER_ACTION,FAILED_TO_KEEP_IN_PROPER_LANE,131,0.00011364835668
2566247,2,HEAD_ON,-111.926312788873,33.3929462881345,2,FOUR_WAY_INTERSECTION,HEAD_ON,TEMPE,"2011/06/14 06:54:00",INATTENTION_DISTRACTION,NO_IMPROPER_ACTION,142,0.00011478923463
2435202,2,ANGLE_FRONT_TO_SIDE,-111.926312575836,33.3929572660779,4,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/08/18 05:53:00",DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION,142,0.00011512839226
2460267,2,ANGLE_FRONT_TO_SIDE,-111.926312575836,33.3929572660779,2,UNKNOWN_99,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/10/20 18:40:00",WALKED_ON_WRONG_SIDE_OF_ROAD,OTHER_97,142,0.00011512839226
2598345,2,ANGLE_FRONT_TO_SIDE,-111.926312575836,33.3929572660779,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/02/05 20:56:00",OTHER_97,FAILED_TO_YIELD_RIGHT_OF_WAY_103,142,0.00011512839226
2725749,2,ANGLE_FRONT_TO_SIDE,-111.926413997899,33.4220260239773,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/05/23 20:00:00",FAILED_TO_YIELD_RIGHT_OF_WAY_103,NO_IMPROPER_ACTION,117,0.00011655301889
2414578,2,ANGLE_FRONT_TO_SIDE,-111.942316754808,33.4219286000737,5,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/05/10 18:12:00",DISREGARDED_TRAFFIC_SIGNAL,NOT_APPLICABLE_MINUS_1+NO_IMPROPER_ACTION+NOT_APPLICABLE_MINUS_1,119,0.000118891347
2686248,2,ANGLE_FRONT_TO_SIDE,-111.934908941481,33.3927943100975,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2013/01/15 15:20:00",DROVE_RODE_IN_OPPOSING_TRAFFIC_LANE,NO_IMPROPER_ACTION,141,0.00012239223107
2282501,2,OTHER_97,-111.934908572354,33.3928985396716,2,FOUR_WAY_INTERSECTION,OTHER_97,TEMPE,"2009/03/30 16:22:00",NO_IMPROPER_ACTION,OTHER_97,141,0.00012242002517
