Location ID,Time,Recorder,Rec Count,Page,Segment,Direction,Count,Gender ,Age_Y,Age_O,Helmet,Wrong way,Sidewalk,Distracted,Pedestrian,Notes,Construction
106,PM,Michael Wasko,7,1,1,1,12,4,,,,3,3,3,51,w/ kid buggy: 1. ... w/ dog: 1.,
106,PM,Michael Wasko,7,1,1,2,9,3,,1,3,,1,,42,,
106,PM,Michael Wasko,7,1,1,3,7,1,,1,1,,1,,13,,
106,PM,Michael Wasko,7,1,1,4,5,2,,,,1,,,13,,
106,PM,Michael Wasko,7,1,2,1,7,1,,,2,3,2,2,45,,
106,PM,Michael Wasko,7,1,2,2,10,2,,1,2,1,1,1,55,,
106,PM,Michael Wasko,7,1,2,3,2,,,,1,,,,28,,
106,PM,Michael Wasko,7,1,2,4,13,1,,1,1,1,2,,34,,
106,PM,Michael Wasko,7,1,3,1,13,2,,,3,1,3,1,45,,
106,PM,Michael Wasko,7,1,3,2,6,2,,,,2,2,,66,,
106,PM,Michael Wasko,7,1,3,3,4,1,,,,,,1,21,,
106,PM,Michael Wasko,7,1,3,4,9,3,,,,,,,29,,
106,PM,Michael Wasko,7,1,4,1,6,2,,1,1,,2,1,62,,
106,PM,Michael Wasko,7,1,4,2,9,6,,1,4,1,4,3,58,,
106,PM,Michael Wasko,7,1,4,3,8,3,,1,,,,1,26,,
106,PM,Michael Wasko,7,1,4,4,3,1,,,,1,1,1,45,,
106,PM,Michael Wasko,7,2,1,1,18,2,,3,6,4,8,4,71,"w/ dog: 1. ... No construction, weather clear, calm, 85 degrees?. Ped counts est. 10% low (busy!)",
106,PM,Michael Wasko,7,2,1,2,4,2,,1,1,2,2,1,46,,
106,PM,Michael Wasko,7,2,1,3,4,,,,1,,,,25,,
106,PM,Michael Wasko,7,2,1,4,9,2,,1,2,,,1,25,,
106,PM,Michael Wasko,7,2,2,1,10,4,,,2,2,1,1,84,,
106,PM,Michael Wasko,7,2,2,2,10,1,,,6,,,,45,,
106,PM,Michael Wasko,7,2,2,3,4,,,,1,2,2,,27,,
106,PM,Michael Wasko,7,2,2,4,5,2,,2,1,1,,,44,,
106,PM,Michael Wasko,7,2,3,1,7,2,,1,,1,4,,62,,
106,PM,Michael Wasko,7,2,3,2,6,,,,,1,3,,101,,
106,PM,Michael Wasko,7,2,3,3,3,1,,,1,,,,45,,
106,PM,Michael Wasko,7,2,3,4,7,3,,,1,1,2,1,40,,
106,PM,Michael Wasko,7,2,4,1,7,4,,,3,,2,,67,,
106,PM,Michael Wasko,7,2,4,2,7,3,,,3,1,,,95,,
106,PM,Michael Wasko,7,2,4,3,3,,,,,1,1,,55,,
106,PM,Michael Wasko,7,2,4,4,8,1,,1,,,1,1,50,,
107,AM,Ryan Fulmer,8,1,1,1,3,1,,,1,,,,1,,
107,AM,Ryan Fulmer,8,1,1,2,,,,,,,,,15,,
107,AM,Ryan Fulmer,8,1,1,3,2,1,,,2,1,1,,2,,
107,AM,Ryan Fulmer,8,1,1,4,3,1,,,1,,,1,3,,
107,AM,Ryan Fulmer,8,1,2,1,2,,,,1,,,,5,,
107,AM,Ryan Fulmer,8,1,2,2,1,,,,,,,,3,,
107,AM,Ryan Fulmer,8,1,2,3,6,1,,,3,,,1,3,,
107,AM,Ryan Fulmer,8,1,2,4,3,,,,1,1,,,7,,
107,AM,Ryan Fulmer,8,1,3,1,2,1,,,,,,,3,,
107,AM,Ryan Fulmer,8,1,3,2,,,,,,,,,16,,
107,AM,Ryan Fulmer,8,1,3,3,2,2,,,1,,,,5,,
107,AM,Ryan Fulmer,8,1,3,4,2,1,,,1,,1,,7,,
107,AM,Ryan Fulmer,8,1,4,1,2,1,,,1,,,,17,,
107,AM,Ryan Fulmer,8,1,4,2,,,,,,,,,19,,
107,AM,Ryan Fulmer,8,1,4,3,6,2,,1,1,,,1,11,,
107,AM,Ryan Fulmer,8,1,4,4,6,,,,3,1,1,1,4,,
107,AM,Ryan Fulmer,8,2,1,1,1,1,,,,,1,,5,,
107,AM,Ryan Fulmer,8,2,1,2,1,1,,,,,,,15,,
107,AM,Ryan Fulmer,8,2,1,3,6,2,,,3,1,1,1,7,,
107,AM,Ryan Fulmer,8,2,1,4,3,,,,2,,,,10,,
107,AM,Ryan Fulmer,8,2,2,1,2,,,,,,,1,7,,
