"Location ID",Time,Recorder,"Rec Count",Page,Segment,Direction,Count,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,Pedestrian,Motoroized,Electric,Decor/Lights,"ADA Peds","ADA Chairs",Notes,Construction,LocRank,LocRankUniq,Seg,Seg1,LocTime,LocTimeDir,,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,,"Cordon in","Cordon out","Bike Lane Size","Bike Lane"
104,PM,"James Purkhiser",4,2,2,4,3,1,,,,,2,1,2,,,,,,,,4,,14,104_14,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,3,1,,,,,,,,,1,,,,,,,,4,,15,104_15,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,3,2,5,2,,,,2,5,1,,,,,,,,,4,,15,104_15,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,3,3,3,2,,,,2,3,1,1,,,,,,,,4,,15,104_15,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,3,4,1,1,,,,,1,1,3,,,,,,,,4,,15,104_15,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,4,1,5,,,,2,3,4,,,,,,,,,,4,,16,104_16,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,4,2,,,,,,,,,4,,,,,,,,4,,16,104_16,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,4,3,2,1,,,,1,2,1,,,,,,,,,4,,16,104_16,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,4,4,1,,,,,1,1,,2,,,,,,,,4,,16,104_16,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,,,,,,,,,,,,,,3,,,,,4,,,,104PM,,,,,,,,,,,0,0,0,0
105,AM,"Jennifer Guzy",5,1,1,1,2,1,,,2,,,,,,,,,,,,5,5,1,105_1,105AM,105AMNS,,,,,,,,,,0,0,3,1
105,AM,"Jennifer Guzy",5,1,1,2,1,,,,1,,,,,,,,,,,,5,,1,105_1,105AM,105AMNS,,,,,,,,,,0,0,4,1
105,AM,"Jennifer Guzy",5,1,1,3,1,,,,1,,,,,,,,,,,,5,,1,105_1,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,1,1,4,,,,,,,,,,,,,,,,,5,,1,105_1,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,1,2,1,1,1,,,1,,,,,,,,,,,,5,,2,105_2,105AM,105AMNS,,,,,,,,,,0,0,3,1
105,AM,"Jennifer Guzy",5,1,2,2,,,,,,,,,,,,,,,,,5,,2,105_2,105AM,105AMNS,,,,,,,,,,0,0,4,1
105,AM,"Jennifer Guzy",5,1,2,3,,,,,,,,,,,,,,,,,5,,2,105_2,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,1,2,4,,,,,,,,,1,,,,,,,,5,,2,105_2,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,1,3,1,,,,,,,,,,,,,,,,,5,,3,105_3,105AM,105AMNS,,,,,,,,,,0,0,3,1
105,AM,"Jennifer Guzy",5,1,3,2,,,,,,,,,,,,,,,,,5,,3,105_3,105AM,105AMNS,,,,,,,,,,0,0,4,1
105,AM,"Jennifer Guzy",5,1,3,3,,,,,,,,,,,,,,,,,5,,3,105_3,105AM,105AMEW,,,,,,,,,,0,0,1,1
